Day;Time;Active Vehicles
Fri;16:00;90
Fri;16:15;92
Fri;16:30;98
Fri;16:45;99
Fri;17:00;99
Fri;17:15;97
Fri;17:30;90
Fri;17:45;92
Fri;18:00;107
Fri;18:15;112
Fri;18:30;113
Fri;18:45;104
Fri;19:00;98
Fri;19:15;85
Fri;19:30;82
Fri;19:45;79
Fri;20:00;68
Fri;20:15;65
Fri;20:30;61
Fri;20:45;57
Fri;21:00;41
Fri;21:15;37
Fri;21:30;37
Fri;21:45;35
Fri;22:00;29
Fri;22:15;24
Fri;22:30;9
Fri;22:45;4
Sat;05:00;7
Sat;05:15;9
Sat;05:30;15
Sat;05:45;29
Sat;06:00;35
Sat;06:15;49
Sat;06:30;53
Sat;06:45;57
Sat;07:00;62
Sat;07:15;67
Sat;07:30;81
Sat;07:45;85
Sat;08:00;87
Sat;08:15;87
Sat;08:30;91
Sat;08:45;93
Sat;09:00;110
Sat;09:15;111
Sat;09:30;104
Sat;09:45;105
Sat;10:00;110
Sat;10:15;99
Sat;10:30;95
Sat;10:45;82
Sat;11:00;81
Sat;11:15;78
Sat;11:30;75
Sat;11:45;74
Sat;12:00;70
Sat;12:15;71
Sat;12:30;75
Sat;12:45;81
Sat;13:00;80
Sat;13:15;79
Sat;13:30;62
Sat;13:45;61
Sat;14:00;61
Sat;14:15;62
Sat;14:30;62
Sat;14:45;62
Sat;15:00;66
Sat;15:15;71
Sat;15:30;76
Sat;15:45;81
Sat;16:00;85
Sat;16:15;87
Sat;16:30;82
Sat;16:45;83
Sat;17:00;79
Sat;17:15;73
Sat;17:30;70
Sat;17:45;69
Sat;18:00;69
Sat;18:15;69
Sat;18:30;69
Sat;18:45;65
Sat;19:00;54
Sat;19:15;51
Sat;19:30;45
Sat;19:45;39
Sat;20:00;31
Sat;20:15;25
Sat;20:30;19
Sat;20:45;13
Sat;21:00;8
Sat;21:15;2
