Driver ID;Type;Weekly Hours;Mon;Tue;Wed;Thu;Fri;Sat
FTE034;FTE;49,50;09:15-22:15 (2er (Split));10:15-20:00 (2er);07:00-20:45 (2er (Split));08:45-13:15 (1er);04:45-14:45 (2er);06:15-16:30 (2er)
FTE035;FTE;49,50;09:15-22:15 (2er (Split));17:30-22:00 (1er);10:15-19:45 (2er);08:15-12:45 (1er);16:30-21:00 (1er);06:15-16:30 (2er)
FTE036;FTE;49,50;09:15-22:15 (2er (Split));10:30-15:00 (1er);04:45-14:45 (2er);04:45-14:45 (2er);05:00-15:00 (2er);06:15-16:30 (2er)
FTE037;FTE;49,50;07:15-20:30 (2er (Split));07:45-20:45 (2er (Split));08:30-18:30 (2er);07:15-20:15 (2er (Split));08:15-12:45 (1er);06:15-16:30 (2er)
FTE038;FTE;49,50;08:15-18:15 (2er);07:45-21:45 (2er (Split));13:00-17:30 (1er);05:30-15:30 (2er);05:15-15:15 (2er);06:15-16:30 (2er)
FTE040;FTE;49,50;08:15-18:30 (2er);08:15-22:00 (2er (Split));13:00-17:30 (1er);05:30-15:30 (2er);05:15-15:15 (2er);06:45-16:45 (2er)
FTE041;FTE;49,50;08:30-18:45 (2er);08:15-22:15 (2er (Split));13:00-17:30 (1er);06:00-16:30 (2er);05:15-15:15 (2er);06:45-16:45 (2er)
FTE042;FTE;49,50;08:30-18:45 (2er);08:15-22:15 (2er (Split));13:15-17:45 (1er);06:00-16:30 (2er);05:15-15:15 (2er);06:45-16:45 (2er)
FTE044;FTE;49,50;04:45-14:15 (2er);04:45-14:45 (2er);04:45-14:45 (2er);05:45-10:15 (1er);05:15-15:15 (2er);07:00-16:45 (2er)
FTE045;FTE;49,50;04:45-14:45 (2er);05:00-15:00 (2er);05:00-15:00 (2er);05:45-10:15 (1er);05:15-15:15 (2er);07:00-16:30 (2er)
FTE046;FTE;49,50;04:45-14:15 (2er);06:45-16:45 (2er);07:00-16:30 (2er);05:45-10:15 (1er);05:15-15:15 (2er);07:15-17:15 (2er)
FTE047;FTE;49,50;08:00-18:00 (2er);07:00-16:45 (2er);07:00-16:30 (2er);;17:30-22:00 (1er);07:30-17:30 (2er)
FTE048;FTE;49,50;06:45-16:30 (2er);07:00-16:30 (2er);04:45-15:00 (2er);;17:45-22:15 (1er);07:30-17:30 (2er)
FTE049;FTE;49,50;07:00-16:45 (2er);08:15-18:15 (2er);05:30-15:00 (2er);15:00-19:30 (1er);06:45-16:30 (2er);07:30-17:30 (2er)
FTE050;FTE;49,50;04:45-09:15 (1er);08:15-18:15 (2er);05:30-15:00 (2er);06:00-16:30 (2er);07:00-16:30 (2er);07:45-17:15 (2er)
FTE051;FTE;49,50;05:00-09:30 (1er);05:45-15:15 (2er);04:45-15:00 (2er);08:15-18:45 (2er);07:00-16:30 (2er);07:45-17:15 (2er)
FTE052;FTE;49,50;09:45-22:45 (2er (Split));12:00-16:30 (1er);06:45-20:30 (2er (Split));08:00-21:15 (2er (Split));10:30-21:00 (2er);08:30-18:45 (2er)
FTE053;FTE;49,50;08:15-18:30 (2er);06:15-20:15 (2er (Split));17:45-22:15 (1er);10:15-19:45 (2er);10:30-21:00 (2er);08:30-19:00 (2er)
FTE055;FTE;49,50;08:15-18:30 (2er);08:00-21:15 (2er (Split));17:45-22:15 (1er);10:15-19:45 (2er);10:30-21:00 (2er);08:30-19:00 (2er)
FTE056;FTE;49,50;07:45-21:45 (2er (Split));08:45-22:00 (2er (Split));14:45-19:15 (1er);08:15-22:15 (2er (Split));12:00-21:45 (2er);08:45-19:00 (2er)
