driver_id,driver_type,day,duty_id,duty_start,duty_end,tour_ids,work_min,hours,days_worked
D_PT536,PT,4,seed_s_T_4_1050_5,1050,1320,T_4_1050_5,270,4.5,1
D_PT537,PT,4,seed_s_T_4_1065_2,1065,1335,T_4_1065_2,270,4.5,1
D_PT538,PT,4,seed_s_T_4_1080_1,1080,1350,T_4_1080_1,270,4.5,1
D_PT539,PT,4,seed_s_T_4_1080_2,1080,1350,T_4_1080_2,270,4.5,1
D_PT540,PT,4,seed_s_T_4_1080_4,1080,1350,T_4_1080_4,270,4.5,1
D_PT541,PT,4,seed_s_T_4_1080_6,1080,1350,T_4_1080_6,270,4.5,1
D_PT542,PT,4,seed_s_T_4_1080_7,1080,1350,T_4_1080_7,270,4.5,1
D_PT543,PT,4,seed_s_T_4_1095_1,1095,1365,T_4_1095_1,270,4.5,1
D_PT544,PT,4,seed_s_T_4_1095_2,1095,1365,T_4_1095_2,270,4.5,1
D_PT545,PT,4,seed_s_T_4_1095_3,1095,1365,T_4_1095_3,270,4.5,1
D_PT546,PT,4,seed_s_T_4_1095_4,1095,1365,T_4_1095_4,270,4.5,1
D_PT547,PT,4,seed_s_T_4_1110_1,1110,1380,T_4_1110_1,270,4.5,1
D_PT548,PT,4,seed_s_T_4_1110_2,1110,1380,T_4_1110_2,270,4.5,1
D_PT549,PT,4,seed_s_T_4_1110_4,1110,1380,T_4_1110_4,270,4.5,1
D_PT550,PT,4,seed_s_T_4_1110_5,1110,1380,T_4_1110_5,270,4.5,1
D_PT551,PT,4,seed_s_T_4_1110_6,1110,1380,T_4_1110_6,270,4.5,1
D_PT552,PT,4,seed_s_T_4_1110_7,1110,1380,T_4_1110_7,270,4.5,1
D_PT553,PT,4,seed_s_T_4_1110_8,1110,1380,T_4_1110_8,270,4.5,1
D_PT554,PT,4,seed_s_T_4_1125_1,1125,1395,T_4_1125_1,270,4.5,1
D_PT555,PT,4,seed_s_T_4_1125_2,1125,1395,T_4_1125_2,270,4.5,1
D_PT556,PT,4,seed_s_T_4_1140_1,1140,1410,T_4_1140_1,270,4.5,1
D_PT557,PT,4,seed_s_T_4_1140_2,1140,1410,T_4_1140_2,270,4.5,1
D_PT558,PT,4,seed_s_T_4_1155_1,1155,1425,T_4_1155_1,270,4.5,1
D_PT559,PT,4,seed_s_T_4_1155_2,1155,1425,T_4_1155_2,270,4.5,1
D_PT560,PT,4,seed_s_T_4_1170_1,1170,1439,T_4_1170_1,269,4.5,1
D_PT561,PT,4,seed_s_T_4_1170_2,1170,1439,T_4_1170_2,269,4.5,1
D_FTE562,FTE,0,T_6ed130cb2b2e,330,1140,T_0_330_2|T_0_600_2|T_0_870_3,810,49.5,4
D_FTE562,FTE,1,T_59c450f15031,360,1200,T_1_360_5|T_1_660_1|T_1_930_1,810,49.5,4
D_FTE562,FTE,2,P_1c8202553110,420,960,T_2_420_7|T_2_690_10,540,49.5,4
D_FTE562,FTE,4,T_587ae90832db,285,1110,T_4_285_5|T_4_570_1|T_4_840_3,810,49.5,4
D_FTE563,FTE,0,T_dd1ce2ca0235,345,1155,T_0_345_9|T_0_615_8|T_0_885_2,810,49.5,4
D_FTE563,FTE,1,T_57be5f9e7989,375,1185,T_1_375_5|T_1_645_5|T_1_915_1,810,49.5,4
D_FTE563,FTE,2,P_78f2db0aa529,420,960,T_2_420_5|T_2_690_5,540,49.5,4
