tour_id,day,start_min,end_min,duration_min
T_1_540_2,1,540,810,270
T_1_540_3,1,540,810,270
T_1_540_4,1,540,810,270
T_1_540_5,1,540,810,270
T_1_540_6,1,540,810,270
T_1_540_7,1,540,810,270
T_1_540_8,1,540,810,270
T_1_555_1,1,555,825,270
T_1_555_2,1,555,825,270
T_1_555_3,1,555,825,270
T_1_555_4,1,555,825,270
T_1_555_5,1,555,825,270
T_1_555_6,1,555,825,270
T_1_555_7,1,555,825,270
T_1_555_8,1,555,825,270
T_1_570_1,1,570,840,270
T_1_570_2,1,570,840,270
T_1_570_3,1,570,840,270
T_1_570_4,1,570,840,270
T_1_570_5,1,570,840,270
T_1_585_1,1,585,855,270
T_1_585_2,1,585,855,270
T_1_585_3,1,585,855,270
T_1_585_4,1,585,855,270
T_1_585_5,1,585,855,270
T_1_585_6,1,585,855,270
T_1_585_7,1,585,855,270
T_1_585_8,1,585,855,270
T_1_600_1,1,600,870,270
T_1_600_2,1,600,870,270
T_1_600_3,1,600,870,270
T_1_600_4,1,600,870,270
T_1_600_5,1,600,870,270
T_1_600_6,1,600,870,270
T_1_615_1,1,615,885,270
T_1_615_2,1,615,885,270
T_1_615_3,1,615,885,270
T_1_615_4,1,615,885,270
T_1_615_5,1,615,885,270
T_1_615_6,1,615,885,270
T_1_615_7,1,615,885,270
T_1_615_8,1,615,885,270
T_1_630_1,1,630,900,270
T_1_630_2,1,630,900,270
T_1_630_3,1,630,900,270
T_1_630_4,1,630,900,270
T_1_630_5,1,630,900,270
T_1_630_6,1,630,900,270
T_1_630_7,1,630,900,270
T_1_645_1,1,645,915,270
T_1_645_2,1,645,915,270
T_1_645_3,1,645,915,270
T_1_645_4,1,645,915,270
T_1_645_5,1,645,915,270
T_1_645_6,1,645,915,270
T_1_645_7,1,645,915,270
T_1_660_1,1,660,930,270
T_1_660_2,1,660,930,270
T_1_660_3,1,660,930,270
T_1_660_4,1,660,930,270
T_1_660_5,1,660,930,270
T_1_660_6,1,660,930,270
T_1_660_7,1,660,930,270
T_1_675_1,1,675,945,270
T_1_675_2,1,675,945,270
T_1_675_3,1,675,945,270
T_1_675_4,1,675,945,270
T_1_675_5,1,675,945,270
T_1_675_6,1,675,945,270
T_1_675_7,1,675,945,270
T_1_690_1,1,690,960,270
T_1_690_2,1,690,960,270
T_1_690_3,1,690,960,270
T_1_690_4,1,690,960,270
T_1_690_5,1,690,960,270
T_1_690_6,1,690,960,270
T_1_690_7,1,690,960,270
T_1_705_1,1,705,975,270
T_1_720_1,1,720,990,270
T_1_720_2,1,720,990,270
T_1_720_3,1,720,990,270
T_1_720_4,1,720,990,270
T_1_720_5,1,720,990,270
T_1_720_6,1,720,990,270
T_1_720_7,1,720,990,270
T_1_720_8,1,720,990,270
T_1_720_9,1,720,990,270
T_1_720_10,1,720,990,270
T_1_720_11,1,720,990,270
T_1_735_1,1,735,1005,270
T_1_735_2,1,735,1005,270
T_1_735_3,1,735,1005,270
T_1_735_4,1,735,1005,270
T_1_750_1,1,750,1020,270
T_1_750_2,1,750,1020,270
T_1_750_3,1,750,1020,270
T_1_750_4,1,750,1020,270
T_1_750_5,1,750,1020,270
T_1_750_6,1,750,1020,270
T_1_750_7,1,750,1020,270
T_1_765_1,1,765,1035,270
T_1_765_2,1,765,1035,270
T_1_765_3,1,765,1035,270
T_1_765_4,1,765,1035,270
T_1_780_1,1,780,1050,270
T_1_780_2,1,780,1050,270
T_1_780_3,1,780,1050,270
T_1_780_4,1,780,1050,270
T_1_780_5,1,780,1050,270
T_1_780_6,1,780,1050,270
T_1_780_7,1,780,1050,270
T_1_780_8,1,780,1050,270
T_1_780_9,1,780,1050,270
T_1_795_1,1,795,1065,270
T_1_795_2,1,795,1065,270
T_1_795_3,1,795,1065,270
T_1_795_4,1,795,1065,270
T_1_810_1,1,810,1080,270
T_1_810_2,1,810,1080,270
T_1_810_3,1,810,1080,270
T_1_810_4,1,810,1080,270
T_1_810_5,1,810,1080,270
T_1_810_6,1,810,1080,270
T_1_810_7,1,810,1080,270
T_1_810_8,1,810,1080,270
T_1_810_9,1,810,1080,270
T_1_810_10,1,810,1080,270
T_1_825_1,1,825,1095,270
T_1_825_2,1,825,1095,270
T_1_825_3,1,825,1095,270
T_1_825_4,1,825,1095,270
T_1_825_5,1,825,1095,270
T_1_825_6,1,825,1095,270
T_1_825_7,1,825,1095,270
T_1_825_8,1,825,1095,270
T_1_825_9,1,825,1095,270
T_1_825_10,1,825,1095,270
T_1_840_1,1,840,1110,270
T_1_840_2,1,840,1110,270
T_1_840_3,1,840,1110,270
T_1_840_4,1,840,1110,270
T_1_840_5,1,840,1110,270
T_1_840_6,1,840,1110,270
T_1_840_7,1,840,1110,270
T_1_840_8,1,840,1110,270
T_1_840_9,1,840,1110,270
T_1_840_10,1,840,1110,270
T_1_855_1,1,855,1125,270
T_1_855_2,1,855,1125,270
T_1_855_3,1,855,1125,270
T_1_855_4,1,855,1125,270
T_1_855_5,1,855,1125,270
T_1_855_6,1,855,1125,270
T_1_855_7,1,855,1125,270
T_1_855_8,1,855,1125,270
T_1_855_9,1,855,1125,270
T_1_855_10,1,855,1125,270
T_1_855_11,1,855,1125,270
T_1_870_1,1,870,1140,270
T_1_870_2,1,870,1140,270
T_1_870_3,1,870,1140,270
T_1_870_4,1,870,1140,270
T_1_870_5,1,870,1140,270
T_1_870_6,1,870,1140,270
T_1_870_7,1,870,1140,270
T_1_870_8,1,870,1140,270
T_1_870_9,1,870,1140,270
T_1_870_10,1,870,1140,270
T_1_885_1,1,885,1155,270
T_1_885_2,1,885,1155,270
T_1_885_3,1,885,1155,270
T_1_900_1,1,900,1170,270
T_1_900_2,1,900,1170,270
T_1_900_3,1,900,1170,270
T_1_900_4,1,900,1170,270
T_1_900_5,1,900,1170,270
T_1_900_6,1,900,1170,270
T_1_900_7,1,900,1170,270
T_1_900_8,1,900,1170,270
T_1_900_9,1,900,1170,270
T_1_900_10,1,900,1170,270
T_1_915_1,1,915,1185,270
T_1_915_2,1,915,1185,270
T_1_915_3,1,915,1185,270
T_1_930_1,1,930,1200,270
T_1_930_2,1,930,1200,270
T_1_930_3,1,930,1200,270
T_1_930_4,1,930,1200,270
T_1_930_5,1,930,1200,270
T_1_930_6,1,930,1200,270
T_1_930_7,1,930,1200,270
T_1_930_8,1,930,1200,270
T_1_930_9,1,930,1200,270
T_1_930_10,1,930,1200,270
T_1_945_1,1,945,1215,270
T_1_945_2,1,945,1215,270
T_1_945_3,1,945,1215,270
T_1_945_4,1,945,1215,270
T_1_960_1,1,960,1230,270
T_1_960_2,1,960,1230,270
T_1_960_3,1,960,1230,270
T_1_975_1,1,975,1245,270
T_1_990_1,1,990,1260,270
T_1_1005_1,1,1005,1275,270
T_1_1005_2,1,1005,1275,270
T_1_1005_3,1,1005,1275,270
T_1_1005_4,1,1005,1275,270
T_1_1005_5,1,1005,1275,270
T_1_1005_6,1,1005,1275,270
T_1_1020_1,1,1020,1290,270
T_1_1020_2,1,1020,1290,270
T_1_1020_3,1,1020,1290,270
T_1_1020_4,1,1020,1290,270
T_1_1020_5,1,1020,1290,270
T_1_1020_6,1,1020,1290,270
T_1_1020_7,1,1020,1290,270
T_1_1020_8,1,1020,1290,270
T_1_1020_9,1,1020,1290,270
T_1_1035_1,1,1035,1305,270
T_1_1050_1,1,1050,1320,270
T_1_1050_2,1,1050,1320,270
T_1_1050_3,1,1050,1320,270
T_1_1050_4,1,1050,1320,270
T_1_1050_5,1,1050,1320,270
T_1_1050_6,1,1050,1320,270
T_1_1050_7,1,1050,1320,270
T_1_1050_8,1,1050,1320,270
T_1_1050_9,1,1050,1320,270
T_1_1050_10,1,1050,1320,270
T_1_1050_11,1,1050,1320,270
T_1_1050_12,1,1050,1320,270
T_1_1065_1,1,1065,1335,270
T_1_1065_2,1,1065,1335,270
T_1_1065_3,1,1065,1335,270
T_1_1065_4,1,1065,1335,270
T_1_1065_5,1,1065,1335,270
T_1_1065_6,1,1065,1335,270
T_1_1065_7,1,1065,1335,270
T_1_1065_8,1,1065,1335,270
T_1_1080_1,1,1080,1350,270
T_1_1080_2,1,1080,1350,270
T_1_1080_3,1,1080,1350,270
T_1_1080_4,1,1080,1350,270
T_1_1080_5,1,1080,1350,270
T_1_1080_6,1,1080,1350,270
T_1_1080_7,1,1080,1350,270
T_1_1080_8,1,1080,1350,270
T_1_1080_9,1,1080,1350,270
T_1_1080_10,1,1080,1350,270
T_1_1095_1,1,1095,1365,270
T_1_1095_2,1,1095,1365,270
T_1_1095_3,1,1095,1365,270
T_1_1110_1,1,1110,1380,270
T_1_1110_2,1,1110,1380,270
T_1_1110_3,1,1110,1380,270
T_1_1110_4,1,1110,1380,270
T_1_1110_5,1,1110,1380,270
T_1_1110_6,1,1110,1380,270
T_1_1125_1,1,1125,1395,270
T_1_1125_2,1,1125,1395,270
T_1_1125_3,1,1125,1395,270
T_1_1125_4,1,1125,1395,270
T_1_1125_5,1,1125,1395,270
T_1_1140_1,1,1140,1410,270
T_1_1140_2,1,1140,1410,270
T_1_1140_3,1,1140,1410,270
T_1_1140_4,1,1140,1410,270
T_1_1140_5,1,1140,1410,270
T_1_1155_1,1,1155,1425,270
T_1_1155_2,1,1155,1425,270
T_1_1155_3,1,1155,1425,270
T_1_1155_4,1,1155,1425,270
T_1_1155_5,1,1155,1425,270
T_1_1155_6,1,1155,1425,270
T_1_1170_1,1,1170,1439,269
T_1_1170_2,1,1170,1439,269
T_1_1170_3,1,1170,1439,269
T_1_1170_4,1,1170,1439,269
T_1_1170_5,1,1170,1439,269
T_1_1170_6,1,1170,1439,269
T_1_1170_7,1,1170,1439,269
T_2_210_1,2,210,480,270
T_2_210_2,2,210,480,270
T_2_225_1,2,225,495,270
T_2_225_2,2,225,495,270
T_2_225_3,2,225,495,270
T_2_225_4,2,225,495,270
T_2_240_1,2,240,510,270
T_2_240_2,2,240,510,270
T_2_240_3,2,240,510,270
T_2_240_4,2,240,510,270
T_2_240_5,2,240,510,270
T_2_240_6,2,240,510,270
T_2_240_7,2,240,510,270
T_2_240_8,2,240,510,270
T_2_240_9,2,240,510,270
T_2_240_10,2,240,510,270
T_2_240_11,2,240,510,270
T_2_255_1,2,255,525,270
T_2_255_2,2,255,525,270
T_2_255_3,2,255,525,270
T_2_255_4,2,255,525,270
T_2_270_1,2,270,540,270
T_2_270_2,2,270,540,270
T_2_285_1,2,285,555,270
T_2_285_2,2,285,555,270
T_2_285_3,2,285,555,270
T_2_285_4,2,285,555,270
T_2_300_1,2,300,570,270
T_2_300_2,2,300,570,270
T_2_300_3,2,300,570,270
T_2_300_4,2,300,570,270
T_2_300_5,2,300,570,270
T_2_300_6,2,300,570,270
T_2_315_1,2,315,585,270
T_2_315_2,2,315,585,270
T_2_315_3,2,315,585,270
T_2_315_4,2,315,585,270
T_2_315_5,2,315,585,270
T_2_330_1,2,330,600,270
T_2_330_2,2,330,600,270
T_2_330_3,2,330,600,270
T_2_330_4,2,330,600,270
T_2_330_5,2,330,600,270
T_2_330_6,2,330,600,270
T_2_330_7,2,330,600,270
T_2_330_8,2,330,600,270
T_2_330_9,2,330,600,270
T_2_330_10,2,330,600,270
T_2_345_1,2,345,615,270
T_2_345_2,2,345,615,270
T_2_345_3,2,345,615,270
T_2_345_4,2,345,615,270
T_2_345_5,2,345,615,270
T_2_345_6,2,345,615,270
T_2_345_7,2,345,615,270
T_2_345_8,2,345,615,270
T_2_360_1,2,360,630,270
T_2_360_2,2,360,630,270
T_2_360_3,2,360,630,270
T_2_360_4,2,360,630,270
T_2_360_5,2,360,630,270
T_2_360_6,2,360,630,270
T_2_360_7,2,360,630,270
T_2_360_8,2,360,630,270
T_2_360_9,2,360,630,270
T_2_360_10,2,360,630,270
T_2_375_1,2,375,645,270
T_2_375_2,2,375,645,270
T_2_375_3,2,375,645,270
T_2_375_4,2,375,645,270
T_2_375_5,2,375,645,270
T_2_375_6,2,375,645,270
T_2_375_7,2,375,645,270
T_2_375_8,2,375,645,270
T_2_375_9,2,375,645,270
T_2_375_10,2,375,645,270
T_2_375_11,2,375,645,270
T_2_375_12,2,375,645,270
T_2_375_13,2,375,645,270
T_2_390_1,2,390,660,270
T_2_390_2,2,390,660,270
T_2_390_3,2,390,660,270
T_2_390_4,2,390,660,270
T_2_390_5,2,390,660,270
T_2_390_6,2,390,660,270
T_2_390_7,2,390,660,270
T_2_390_8,2,390,660,270
T_2_390_9,2,390,660,270
T_2_390_10,2,390,660,270
T_2_390_11,2,390,660,270
T_2_390_12,2,390,660,270
T_2_390_13,2,390,660,270
T_2_405_1,2,405,675,270
T_2_405_2,2,405,675,270
T_2_405_3,2,405,675,270
T_2_405_4,2,405,675,270
T_2_405_5,2,405,675,270
T_2_405_6,2,405,675,270
T_2_405_7,2,405,675,270
T_2_405_8,2,405,675,270
T_2_405_9,2,405,675,270
T_2_405_10,2,405,675,270
T_2_405_11,2,405,675,270
T_2_420_1,2,420,690,270
T_2_420_2,2,420,690,270
T_2_420_3,2,420,690,270
T_2_420_4,2,420,690,270
T_2_420_5,2,420,690,270
T_2_420_6,2,420,690,270
T_2_420_7,2,420,690,270
T_2_420_8,2,420,690,270
T_2_420_9,2,420,690,270
T_2_420_10,2,420,690,270
T_2_420_11,2,420,690,270
T_2_420_12,2,420,690,270
T_2_435_1,2,435,705,270
T_2_435_2,2,435,705,270
T_2_435_3,2,435,705,270
T_2_435_4,2,435,705,270
T_2_435_5,2,435,705,270
T_2_435_6,2,435,705,270
T_2_435_7,2,435,705,270
T_2_435_8,2,435,705,270
T_2_450_1,2,450,720,270
T_2_450_2,2,450,720,270
T_2_450_3,2,450,720,270
T_2_450_4,2,450,720,270
T_2_450_5,2,450,720,270
T_2_450_6,2,450,720,270
T_2_450_7,2,450,720,270
T_2_450_8,2,450,720,270
T_2_450_9,2,450,720,270
T_2_450_10,2,450,720,270
T_2_450_11,2,450,720,270
T_2_465_1,2,465,735,270
T_2_465_2,2,465,735,270
T_2_465_3,2,465,735,270
T_2_465_4,2,465,735,270
T_2_465_5,2,465,735,270
T_2_465_6,2,465,735,270
T_2_465_7,2,465,735,270
T_2_480_1,2,480,750,270
T_2_480_2,2,480,750,270
T_2_480_3,2,480,750,270
T_2_480_4,2,480,750,270
T_2_480_5,2,480,750,270
T_2_480_6,2,480,750,270
T_2_495_1,2,495,765,270
T_2_495_2,2,495,765,270
T_2_495_3,2,495,765,270
T_2_495_4,2,495,765,270
T_2_495_5,2,495,765,270
T_2_495_6,2,495,765,270
T_2_510_1,2,510,780,270
